LAFeq, LAFmin, LAFE, LAFmax, LCpeak, Freq[Hz]:, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1k, 1.25k, 1.6k, 2k, 2.5k, 3.15k, 4k, 5k, 6.3k, 8k, 10k, 12.5k, 16k, 20k
37.3, 12.5, 37.3, 53.1, 93.3, -, 37.6, 36.4, 35.2, 34.0, 32.8, 31.6, 30.4, 29.3, 28.1, 26.9, 25.7, 24.5, 23.4, 22.2, 21.1, 19.9, 18.8, 17.7, 16.6, 15.6, 14.6, 13.8, 14.2, 28.5, 36.3, 36.9, 35.7, 34.5, 33.4, 32.2
34.3, 13.0, 29.6, 37.4, 82.1, -, 31.0, 29.8, 28.6, 27.4, 26.3, 25.1, 23.9, 22.7, 21.6, 20.4, 19.3, 18.2, 17.1, 16.0, 15.0, 14.0, 13.2, 12.3, 11.5, 16.2, 19.2, 19.9, 20.5, 23.0, 28.0, 29.7, 29.0, 27.8, 26.7, 25.6
31.4, 12.4, 17.9, 25.3, 76.6, -, 19.0, 17.9, 16.7, 15.6, 14.5, 13.5, 12.4, 11.4, 10.4, 9.4, 8.5, 7.6, 6.8, 6.1, 5.6, 5.4, 5.1, 5.0, 5.1, 5.4, 6.0, 6.8, 7.6, 10.2, 15.3, 16.9, 16.5, 15.8, 15.4, 15.2
29.3, 12.0, 14.2, 19.1, 73.5, -, 14.6, 13.5, 12.5, 11.4, 10.4, 9.4, 8.4, 7.5, 6.6, 5.8, 5.0, 4.3, 3.9, 3.7, 3.5, 3.6, 3.8, 3.9, 4.5, 4.9, 5.4, 6.1, 6.8, 7.6, 9.3, 10.5, 10.8, 11.3, 11.8, 12.4
27.7, 11.9, 14.1, 17.6, 72.3, -, 14.5, 13.4, 12.3, 11.3, 10.3, 9.3, 8.3, 7.4, 6.5, 5.7, 4.9, 4.2, 3.8, 3.6, 3.5, 3.7, 3.8, 3.8, 4.4, 4.9, 5.4, 6.2, 6.8, 7.7, 9.2, 10.1, 10.6, 11.1, 11.7, 12.3
26.5, 11.8, 13.7, 15.0, 70.9, -, 14.1, 13.0, 11.9, 10.9, 9.9, 8.9, 7.9, 7.0, 6.2, 5.4, 4.6, 3.9, 3.5, 3.4, 3.5, 3.7, 3.9, 3.9, 4.4, 4.9, 5.4, 6.2, 6.8, 7.5, 8.2, 9.1, 9.9, 10.6, 11.3, 12.1
25.5, 12.0, 14.8, 22.9, 78.0, -, 15.5, 14.4, 13.3, 12.3, 11.2, 10.2, 9.2, 8.3, 7.4, 6.6, 5.9, 5.2, 4.7, 5.7, 7.9, 8.5, 8.4, 7.8, 7.4, 7.1, 7.0, 7.2, 7.5, 8.1, 10.4, 11.8, 11.9, 12.0, 12.4, 12.8
59.3, 12.6, 77.2, 90.2, 111.9, -, 79.1, 77.9, 76.7, 75.5, 74.3, 73.1, 72.4, 80.7, 85.6, 86.5, 85.3, 84.4, 84.1, 83.7, 82.8, 81.6, 80.5, 79.4, 78.3, 77.1, 75.9, 74.7, 74.9, 75.2, 74.3, 73.2, 72.0, 70.8, 69.6, 68.4
